time_s,vibration_gyro_rms,vibration_accel_rms,altitude_m_baro,temperature_C_baro,motor_output_mean_pwm,altitude_m_ekf
35.572008,0.002195742698211448,9.723698679295284,0.0,0.0,900.0,-0.09651295473259444
35.576,0.003691523052267588,9.71404198382706,0.0,0.0,900.0,-0.09651506540587185
35.58,0.00354443529919855,9.71760772204554,0.0,0.0,900.0,-0.09651718030895541
35.584,0.0029060438158737788,9.689624866825113,0.0,0.0,900.0,-0.09651929521203899
35.588,0.0030917916781392774,9.705401140892507,0.0,0.0,900.0,-0.09652141011512255
35.592801,0.004107612439748703,9.696630396549686,0.0,0.0,900.0,-0.0965239485275486
35.596801,0.00461246017953837,9.686722273768735,0.0,0.0,900.0,-0.09652606343063218
35.600801,0.0034469950581552506,9.680265553149416,0.0,0.0,900.0,-0.09652656129534279
35.604801,0.004298445030215168,9.69996669220954,0.0,0.0,900.0,-0.09652680570869478
35.608809,0.0034224153122458206,9.71418526328539,0.0,0.0,900.0,-0.09652705061087347
35.612801,0.003299781846829381,9.712186092288626,0.0,0.0,900.0,-0.09652729453539875
35.616801,0.0033420744020285676,9.702823454775015,0.0,0.0,900.0,-0.09652753894875074
35.620801,0.004078758079865475,9.722168496692463,0.0,0.0,900.0,-0.09652778336210273
35.624805,0.004318137463221884,9.728579527763083,0.0,0.0,900.0,-0.09652802801986808
35.628801,0.00443733615759644,9.724341605924497,0.0,0.0,900.0,-0.09652827218880672
35.632801,0.004666484898760308,9.715928103409434,0.0,0.0,900.0,-0.0965285166021587
35.636801,0.0033273616731869797,9.709882267445103,0.0,0.0,900.0,-0.0965287610155107
35.640812,0.003970416649996905,9.71003365729098,0.0,0.0,900.0,-0.0965290061009994
35.644801,0.0047518198732642404,9.709274504693777,0.0,0.0,900.0,-0.09652924984221467
35.648801,0.004034434639886873,9.694253219295698,0.0,0.0,900.0,-0.09652949425556666
35.652805,0.004304510737711037,9.68562198334632,0.0,0.0,900.0,-0.096529738913332
35.656801,0.003914595021594988,9.69437686057678,0.0,0.0,900.0,-0.09652998308227063
35.660801,0.0035309631030193433,9.692975812924594,0.0,0.0,900.0,-0.09653022749562262
35.664801,0.0034238262738562554,9.702603070588589,0.0,0.0,900.0,-0.09653047190897461
35.668801,0.00331241870365935,9.72552113592595,0.0,0.0,900.0,-0.0965307163223266
35.672808,0.0037379905178594273,9.729555338224781,0.0,0.0,900.0,-0.09653096116340196
35.676801,0.004835461659916989,9.72439970301056,0.0,0.0,900.0,-0.09653120514903057
35.6808,0.005134634288552357,9.706972346779734,0.0,0.0,900.0,-0.09653144950127923
35.684801,0.005198518526395035,9.694553783671516,0.0,0.0,900.0,-0.09653169397573455
35.688801,0.003469534866430802,9.685107950210174,0.0,0.0,900.0,-0.09653193838908655
35.692804,0.00417530874756698,9.703406047724728,0.0,0.0,900.0,-0.09653218298574855
35.696801,0.004729091519740637,9.712514701503897,0.0,0.0,900.0,-0.09653242721579053
35.700801,0.00450840075334246,9.703532591640732,0.0,0.0,900.0,-0.09653318516658005
